PLAYER_ID,FGA,season
1627778,5.0,2017-18
1627779,13.0,2017-18
1627780,70.0,2017-18
1627781,82.0,2017-18
1627782,249.0,2017-18
1627783,506.0,2017-18
1627785,73.0,2017-18
1627786,102.0,2017-18
1627788,28.0,2017-18
1627789,246.0,2017-18
1627790,74.0,2017-18
1627812,698.0,2017-18
1627814,139.0,2017-18
1627816,26.0,2017-18
1627817,3.0,2017-18
1627819,357.0,2017-18
1627820,211.0,2017-18
1627821,24.0,2017-18
1627823,65.0,2017-18
1627824,66.0,2017-18
1627826,108.0,2017-18
1627827,113.0,2017-18
1627832,534.0,2017-18
1627834,40.0,2017-18
1627835,220.0,2017-18
1627846,153.0,2017-18
1627850,1.0,2017-18
1627851,1.0,2017-18
1627852,2.0,2017-18
1627853,41.0,2017-18
1627854,494.0,2017-18
1627855,15.0,2017-18
1627856,4.0,2017-18
1627858,86.0,2017-18
1627863,117.0,2017-18
1627866,10.0,2017-18
1627875,47.0,2017-18
1627883,59.0,2017-18
1627884,49.0,2017-18
1627885,106.0,2017-18
1627936,108.0,2017-18
1627982,35.0,2017-18
1627988,102.0,2017-18
1628021,363.0,2017-18
1628035,15.0,2017-18
1628365,100.0,2017-18
1628366,510.0,2017-18
1628367,850.0,2017-18
1628368,733.0,2017-18
1628369,991.0,2017-18
1628370,412.0,2017-18
1628371,138.0,2017-18
1628372,924.0,2017-18
1628373,477.0,2017-18
1628374,812.0,2017-18
1628378,1498.0,2017-18
1628379,443.0,2017-18
1628380,296.0,2017-18
1628381,490.0,2017-18
1628382,404.0,2017-18
1628383,2.0,2017-18
1628384,370.0,2017-18
1628386,353.0,2017-18
1628387,7.0,2017-18
1628388,131.0,2017-18
1628389,323.0,2017-18
1628390,159.0,2017-18
1628391,16.0,2017-18
1628393,223.0,2017-18
1628395,197.0,2017-18
1628396,12.0,2017-18
1628397,140.0,2017-18
1628398,976.0,2017-18
1628400,204.0,2017-18
1628401,37.0,2017-18
1628403,58.0,2017-18
1628404,354.0,2017-18
1628405,68.0,2017-18
1628407,188.0,2017-18
1628408,2.0,2017-18
1628409,74.0,2017-18
1628410,1.0,2017-18
1628411,196.0,2017-18
1628412,351.0,2017-18
1628414,196.0,2017-18
1628415,718.0,2017-18
1628416,352.0,2017-18
1628418,21.0,2017-18
1628420,6.0,2017-18
1628421,2.0,2017-18
1628422,157.0,2017-18
1628424,176.0,2017-18
1628425,189.0,2017-18
1628429,13.0,2017-18
1628432,69.0,2017-18
1628436,122.0,2017-18
1628439,63.0,2017-18
1628443,21.0,2017-18
1628444,24.0,2017-18
1628449,1.0,2017-18
1628451,4.0,2017-18
1628455,299.0,2017-18
1628462,343.0,2017-18
1628463,139.0,2017-18
1628464,213.0,2017-18
1628467,294.0,2017-18
1628469,124.0,2017-18
1628470,123.0,2017-18
1628475,6.0,2017-18
1628476,24.0,2017-18
1628492,18.0,2017-18
1628493,7.0,2017-18
1628495,42.0,2017-18
1628499,20.0,2017-18
1628502,33.0,2017-18
1628503,74.0,2017-18
1628504,36.0,2017-18
1628506,12.0,2017-18
1628510,67.0,2017-18
1628513,1.0,2017-18
1628537,26.0,2017-18
1628571,1.0,2017-18
1628681,103.0,2017-18
1628935,13.0,2017-18
1713,468.0,2018-19
1717,376.0,2018-19
2037,438.0,2018-19
2199,99.0,2018-19
2200,94.0,2018-19
2225,463.0,2018-19
2403,126.0,2018-19
2544,1095.0,2018-19
2546,121.0,2018-19
2548,958.0,2018-19
2585,199.0,2018-19
2594,479.0,2018-19
2617,33.0,2018-19
2730,68.0,2018-19
2733,284.0,2018-19
2734,347.0,2018-19
2736,118.0,2018-19
2738,468.0,2018-19
2747,79.0,2018-19
2772,725.0,2018-19
101106,67.0,2018-19
101107,652.0,2018-19
101108,865.0,2018-19
101109,148.0,2018-19
101112,116.0,2018-19
101123,616.0,2018-19
101133,105.0,2018-19
101139,309.0,2018-19
101141,463.0,2018-19
101150,1241.0,2018-19
101161,161.0,2018-19
101162,186.0,2018-19
101181,120.0,2018-19
200746,1439.0,2018-19
200752,814.0,2018-19
200755,1138.0,2018-19
200757,160.0,2018-19
200765,432.0,2018-19
200768,1017.0,2018-19
200782,611.0,2018-19
200794,819.0,2018-19
200826,385.0,2018-19
201142,1617.0,2018-19
201143,833.0,2018-19
201144,1120.0,2018-19
201145,682.0,2018-19
201147,123.0,2018-19
201149,213.0,2018-19
201152,883.0,2018-19
201156,9.0,2018-19
201158,728.0,2018-19
201160,59.0,2018-19
201162,250.0,2018-19
201163,285.0,2018-19
201188,1049.0,2018-19
201229,259.0,2018-19
201281,6.0,2018-19
201563,153.0,2018-19
201565,753.0,2018-19
201566,1561.0,2018-19
201567,283.0,2018-19
201568,993.0,2018-19
201569,1087.0,2018-19
201571,702.0,2018-19
201572,917.0,2018-19
201573,230.0,2018-19
201577,528.0,2018-19
201580,638.0,2018-19
201583,69.0,2018-19
201584,129.0,2018-19
201585,153.0,2018-19
201586,1067.0,2018-19
201587,560.0,2018-19
201588,493.0,2018-19
201599,445.0,2018-19
201601,18.0,2018-19
201609,432.0,2018-19
201933,1380.0,2018-19
201935,2170.0,2018-19
201936,708.0,2018-19
201937,770.0,2018-19
201939,1750.0,2018-19
201942,1431.0,2018-19
201949,379.0,2018-19
201950,1159.0,2018-19
201952,416.0,2018-19
201954,704.0,2018-19
201956,161.0,2018-19
201959,538.0,2018-19
201960,611.0,2018-19
201961,492.0,2018-19
201967,161.0,2018-19
201973,395.0,2018-19
201975,68.0,2018-19
201976,522.0,2018-19
201980,785.0,2018-19
201988,706.0,2018-19
202066,503.0,2018-19
202083,729.0,2018-19
202322,552.0,2018-19
202323,487.0,2018-19
202324,636.0,2018-19
202325,128.0,2018-19
202326,416.0,2018-19
202327,72.0,2018-19
202328,229.0,2018-19
202329,696.0,2018-19
202330,705.0,2018-19
202331,1694.0,2018-19
202334,312.0,2018-19
202335,217.0,2018-19
202339,1157.0,2018-19
202340,608.0,2018-19
202347,60.0,2018-19
202355,680.0,2018-19
202357,590.0,2018-19
202362,432.0,2018-19
202391,550.0,2018-19
202397,528.0,2018-19
202498,197.0,2018-19
202681,1420.0,2018-19
202683,813.0,2018-19
202684,372.0,2018-19
202685,537.0,2018-19
202687,156.0,2018-19
202688,253.0,2018-19
202689,1682.0,2018-19
202690,29.0,2018-19
202691,1743.0,2018-19
202692,474.0,2018-19
202693,497.0,2018-19
202694,923.0,2018-19
202695,1625.0,2018-19
202696,1374.0,2018-19
202697,472.0,2018-19
202699,1418.0,2018-19
202700,16.0,2018-19
202702,278.0,2018-19
202703,658.0,2018-19
202704,1112.0,2018-19
202705,169.0,2018-19
202709,572.0,2018-19
202710,1061.0,2018-19
202711,1113.0,2018-19
202714,403.0,2018-19
202718,181.0,2018-19
202720,116.0,2018-19
202722,468.0,2018-19
202734,532.0,2018-19
202738,97.0,2018-19
202954,112.0,2018-19
203076,1026.0,2018-19
203077,332.0,2018-19
203078,1560.0,2018-19
203079,479.0,2018-19
203081,1855.0,2018-19
203082,1062.0,2018-19
203083,1104.0,2018-19
203084,1026.0,2018-19
203085,634.0,2018-19
203086,306.0,2018-19
203087,978.0,2018-19
203089,67.0,2018-19
203090,495.0,2018-19
203092,29.0,2018-19
203093,4.0,2018-19
203095,1107.0,2018-19
203098,105.0,2018-19
203101,48.0,2018-19
203107,519.0,2018-19
203109,829.0,2018-19
203110,638.0,2018-19
203112,18.0,2018-19
203114,1349.0,2018-19
203115,588.0,2018-19
203118,467.0,2018-19
203121,484.0,2018-19
203124,135.0,2018-19
203145,691.0,2018-19
203159,6.0,2018-19
203200,765.0,2018-19
203210,519.0,2018-19
203263,34.0,2018-19
203382,237.0,2018-19
203457,294.0,2018-19
203458,648.0,2018-19
203459,373.0,2018-19
203463,64.0,2018-19
203468,1586.0,2018-19
203469,345.0,2018-19
203471,1140.0,2018-19
203473,526.0,2018-19
203474,2.0,2018-19
203476,377.0,2018-19
203477,164.0,2018-19
203482,564.0,2018-19
203484,757.0,2018-19
203485,69.0,2018-19
203486,486.0,2018-19
203487,154.0,2018-19
203488,355.0,2018-19
203490,627.0,2018-19
203493,594.0,2018-19
203496,362.0,2018-19
203497,732.0,2018-19
203500,837.0,2018-19
203501,984.0,2018-19
203503,367.0,2018-19
203504,548.0,2018-19
203506,588.0,2018-19
203507,1507.0,2018-19
203516,358.0,2018-19
203518,157.0,2018-19
203521,242.0,2018-19
203524,178.0,2018-19
203526,166.0,2018-19
203546,383.0,2018-19
203552,547.0,2018-19
203564,1.0,2018-19
203584,275.0,2018-19
203585,463.0,2018-19
203613,369.0,2018-19
203710,35.0,2018-19
203894,446.0,2018-19
203895,126.0,2018-19
203897,1113.0,2018-19
203901,411.0,2018-19
203903,1168.0,2018-19
203914,787.0,2018-19
203915,890.0,2018-19
203917,337.0,2018-19
203918,781.0,2018-19
203920,168.0,2018-19
203922,190.0,2018-19
203924,853.0,2018-19
203925,791.0,2018-19
203926,433.0,2018-19
203932,1083.0,2018-19
203933,611.0,2018-19
203935,578.0,2018-19
203937,276.0,2018-19
203939,485.0,2018-19
203943,425.0,2018-19
203944,1088.0,2018-19
203952,1209.0,2018-19
203953,738.0,2018-19
203954,1338.0,2018-19
203957,237.0,2018-19
203960,53.0,2018-19
203961,9.0,2018-19
203967,696.0,2018-19
203991,811.0,2018-19
203992,863.0,2018-19
203994,826.0,2018-19
203998,225.0,2018-19
203999,1456.0,2018-19
204020,526.0,2018-19
204025,274.0,2018-19
204038,621.0,2018-19
204060,817.0,2018-19
204456,442.0,2018-19
1626143,362.0,2018-19
1626144,713.0,2018-19
1626145,446.0,2018-19
1626147,157.0,2018-19
1626149,951.0,2018-19
1626150,53.0,2018-19
1626153,556.0,2018-19
1626154,13.0,2018-19
1626155,245.0,2018-19
1626156,1619.0,2018-19
1626157,1315.0,2018-19
1626158,365.0,2018-19
1626159,749.0,2018-19
1626161,741.0,2018-19
1626162,841.0,2018-19
1626163,298.0,2018-19
1626164,1254.0,2018-19
1626166,223.0,2018-19
1626167,815.0,2018-19
1626168,492.0,2018-19
1626169,440.0,2018-19
1626170,225.0,2018-19
1626171,601.0,2018-19
1626172,437.0,2018-19
1626174,117.0,2018-19
1626178,520.0,2018-19
1626179,724.0,2018-19
1626181,525.0,2018-19
1626184,209.0,2018-19
1626185,113.0,2018-19
1626188,504.0,2018-19
1626192,426.0,2018-19
1626195,296.0,2018-19
1626196,1026.0,2018-19
1626203,201.0,2018-19
1626204,468.0,2018-19
1626209,456.0,2018-19
1626210,13.0,2018-19
1626220,385.0,2018-19
1626224,831.0,2018-19
1626245,178.0,2018-19
1626246,300.0,2018-19
1626257,112.0,2018-19
1626259,34.0,2018-19
1626296,1.0,2018-19
1627215,85.0,2018-19
1627395,48.0,2018-19
1627732,1065.0,2018-19
1627733,197.0,2018-19
1627734,731.0,2018-19
1627735,33.0,2018-19
1627736,829.0,2018-19
1627737,177.0,2018-19
1627738,22.0,2018-19
1627739,501.0,2018-19
1627740,95.0,2018-19
1627741,1360.0,2018-19
1627742,727.0,2018-19
1627743,15.0,2018-19
1627745,75.0,2018-19
1627746,53.0,2018-19
1627747,556.0,2018-19
1627748,294.0,2018-19
1627750,1422.0,2018-19
1627751,326.0,2018-19
1627752,594.0,2018-19
1627753,1.0,2018-19
1627758,20.0,2018-19
1627759,878.0,2018-19
1627761,616.0,2018-19
1627763,824.0,2018-19
1627767,270.0,2018-19
1627772,60.0,2018-19
1627774,431.0,2018-19
1627775,68.0,2018-19
1627777,203.0,2018-19
1627780,8.0,2018-19
1627781,29.0,2018-19
1627782,481.0,2018-19
1627783,1325.0,2018-19
1627786,98.0,2018-19
1627788,263.0,2018-19
1627789,217.0,2018-19
1627790,323.0,2018-19
1627812,351.0,2018-19
1627814,127.0,2018-19
1627816,81.0,2018-19
1627820,221.0,2018-19
1627823,316.0,2018-19
1627824,81.0,2018-19
1627826,397.0,2018-19
1627827,528.0,2018-19
1627832,764.0,2018-19
1627846,215.0,2018-19
1627853,412.0,2018-19
1627854,847.0,2018-19
